Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-01-01,Table,2024,1,1,0,21.64717420246421
2024-01-01,Chair,2024,1,1,0,22.73062554112555
2024-01-01,Sofa,2024,1,1,0,22.297102328738518
2024-01-01,Cabinet,2024,1,1,0,20.953407872532683
2024-01-01,Bed,2024,1,1,0,21.094894281577382
2024-01-01,Desk,2024,1,1,0,21.553163849273147
2024-01-02,Table,2024,1,2,0,21.661893845321355
2024-01-02,Chair,2024,1,2,0,23.149804653679663
2024-01-02,Sofa,2024,1,2,0,22.149244789055977
2024-01-02,Cabinet,2024,1,2,0,20.951572872532683
2024-01-02,Bed,2024,1,2,0,21.087778329196432
2024-01-02,Desk,2024,1,2,0,21.537780515939815
2024-01-03,Table,2024,1,3,0,21.635527178654694
2024-01-03,Chair,2024,1,3,0,23.488014971139975
2024-01-03,Sofa,2024,1,3,0,22.057769789055975
2024-01-03,Cabinet,2024,1,3,0,21.027858713774773
2024-01-03,Bed,2024,1,3,0,21.085624492616343
2024-01-03,Desk,2024,1,3,0,21.59592676563919
2024-01-04,Table,2024,1,4,0,21.613361537629054
2024-01-04,Chair,2024,1,4,0,23.081419733044733
2024-01-04,Sofa,2024,1,4,0,21.90898169381788
2024-01-04,Cabinet,2024,1,4,0,21.049080777266838
2024-01-04,Bed,2024,1,4,0,21.081096942111284
2024-01-04,Desk,2024,1,4,0,21.55995748684115
2024-01-05,Table,2024,1,5,0,21.76299737096238
2024-01-05,Chair,2024,1,5,0,23.065122113997113
2024-01-05,Sofa,2024,1,5,0,22.768371773182956
2024-01-05,Cabinet,2024,1,5,0,21.071484461638025
2024-01-05,Bed,2024,1,5,0,21.094837464987098
2024-01-05,Desk,2024,1,5,0,21.632114745748062
2024-01-06,Table,2024,1,6,1,22.406861607142858
2024-01-06,Chair,2024,1,6,1,23.077833333333334
2024-01-06,Sofa,2024,1,6,1,23.47757261904762
2024-01-06,Cabinet,2024,1,6,1,21.03158150560224
2024-01-06,Bed,2024,1,6,1,21.3085546490907
2024-01-06,Desk,2024,1,6,1,21.52540515355763
2024-01-07,Table,2024,1,7,1,22.297086250000007
2024-01-07,Chair,2024,1,7,1,23.50852976190476
2024-01-07,Sofa,2024,1,7,1,23.349627976190472
2024-01-07,Cabinet,2024,1,7,1,21.050415989729217
2024-01-07,Bed,2024,1,7,1,21.30635276264381
2024-01-07,Desk,2024,1,7,1,21.53093261567884
2024-01-08,Table,2024,1,8,0,21.539275564092776
2024-01-08,Chair,2024,1,8,0,24.031792133520074
2024-01-08,Sofa,2024,1,8,0,22.387035044908654
2024-01-08,Cabinet,2024,1,8,0,21.03868868963226
2024-01-08,Bed,2024,1,8,0,21.079780640669554
2024-01-08,Desk,2024,1,8,0,21.605182411693217
2024-01-09,Table,2024,1,9,0,21.53964317182818
2024-01-09,Chair,2024,1,9,0,23.833321534674475
2024-01-09,Sofa,2024,1,9,0,22.576690424333147
2024-01-09,Cabinet,2024,1,9,0,21.01321637361494
2024-01-09,Bed,2024,1,9,0,21.081675640669555
2024-01-09,Desk,2024,1,9,0,21.563628954733513
2024-01-10,Table,2024,1,10,0,21.606101097893344
2024-01-10,Chair,2024,1,10,0,23.51711320134114
