Date,Category,Order Quantity,IsHoliday,Year
2015-01-01,Table,15.42,0,2015
2015-01-01,Chair,18.0,0,2015
2015-01-01,Sofa,15.9,0,2015
2015-01-01,Cabinet,15.18,0,2015
2015-01-01,Bed,15.18,0,2015
2015-01-01,Desk,15.125,0,2015
2015-01-02,Table,17.1,0,2015
2015-01-02,Chair,19.0,0,2015
2015-01-02,Sofa,17.7,0,2015
2015-01-02,Cabinet,15.18,0,2015
2015-01-02,Bed,15.0,0,2015
2015-01-02,Desk,15.125,0,2015
2015-01-03,Table,16.26,1,2015
2015-01-03,Chair,21.0,1,2015
2015-01-03,Sofa,17.25,1,2015
2015-01-03,Cabinet,15.0,1,2015
2015-01-03,Bed,15.27,1,2015
2015-01-03,Desk,16.875,1,2015
2015-01-04,Table,17.835,1,2015
2015-01-04,Chair,21.75,1,2015
2015-01-04,Sofa,19.05,1,2015
2015-01-04,Cabinet,15.09,1,2015
2015-01-04,Bed,15.15,1,2015
2015-01-04,Desk,16.6875,1,2015
2015-01-05,Table,16.26,0,2015
2015-01-05,Chair,17.0,0,2015
2015-01-05,Sofa,17.7,0,2015
2015-01-05,Cabinet,15.18,0,2015
2015-01-05,Bed,15.12,0,2015
2015-01-05,Desk,15.375,0,2015
2015-01-06,Table,17.1,0,2015
2015-01-06,Chair,18.5,0,2015
2015-01-06,Sofa,17.7,0,2015
2015-01-06,Cabinet,15.16,0,2015
2015-01-06,Bed,15.18,0,2015
2015-01-06,Desk,15.375,0,2015
2015-01-07,Table,15.84,0,2015
2015-01-07,Chair,15.5,0,2015
2015-01-07,Sofa,15.3,0,2015
2015-01-07,Cabinet,15.1,0,2015
2015-01-07,Bed,15.02,0,2015
2015-01-07,Desk,15.625,0,2015
2015-01-08,Table,15.21,0,2015
2015-01-08,Chair,15.5,0,2015
2015-01-08,Sofa,17.1,0,2015
2015-01-08,Cabinet,15.16,0,2015
2015-01-08,Bed,15.08,0,2015
2015-01-08,Desk,16.125,0,2015
2015-01-09,Table,16.89,0,2015
2015-01-09,Chair,16.0,0,2015
2015-01-09,Sofa,17.7,0,2015
2015-01-09,Cabinet,15.02,0,2015
2015-01-09,Bed,15.12,0,2015
2015-01-09,Desk,15.0,0,2015
2015-01-10,Table,18.15,1,2015
2015-01-10,Chair,22.5,1,2015
2015-01-10,Sofa,19.05,1,2015
2015-01-10,Cabinet,15.03,1,2015
2015-01-10,Bed,15.27,1,2015
2015-01-10,Desk,16.3125,1,2015
2015-01-11,Table,15.0,1,2015
2015-01-11,Chair,15.0,1,2015
2015-01-11,Sofa,15.9,1,2015
2015-01-11,Cabinet,15.09,1,2015
2015-01-11,Bed,15.21,1,2015
2015-01-11,Desk,16.6875,1,2015
2015-01-12,Table,15.0,0,2015
2015-01-12,Chair,16.5,0,2015
2015-01-12,Sofa,15.9,0,2015
2015-01-12,Cabinet,15.1,0,2015
2015-01-12,Bed,15.1,0,2015
2015-01-12,Desk,15.75,0,2015
2015-01-13,Table,16.47,0,2015
2015-01-13,Chair,19.0,0,2015
2015-01-13,Sofa,15.0,0,2015
2015-01-13,Cabinet,15.12,0,2015
2015-01-13,Bed,15.12,0,2015
2015-01-13,Desk,15.0,0,2015
2015-01-14,Table,15.21,0,2015
2015-01-14,Chair,16.5,0,2015
2015-01-14,Sofa,16.5,0,2015
2015-01-14,Cabinet,15.04,0,2015
2015-01-14,Bed,15.1,0,2015
2015-01-14,Desk,15.875,0,2015
2015-01-15,Table,16.05,0,2015
2015-01-15,Chair,18.5,0,2015
2015-01-15,Sofa,16.2,0,2015
2015-01-15,Cabinet,15.06,0,2015
2015-01-15,Bed,15.12,0,2015
2015-01-15,Desk,15.375,0,2015
2015-01-16,Table,16.68,0,2015
2015-01-16,Chair,19.5,0,2015
2015-01-16,Sofa,15.3,0,2015
2015-01-16,Cabinet,15.04,0,2015
2015-01-16,Bed,15.0,0,2015
2015-01-16,Desk,15.875,0,2015
2015-01-17,Table,17.52,1,2015
2015-01-17,Chair,20.25,1,2015
2015-01-17,Sofa,18.6,1,2015
2015-01-17,Cabinet,15.24,1,2015
2015-01-17,Bed,15.15,1,2015
2015-01-17,Desk,15.9375,1,2015
2015-01-18,Table,18.15,1,2015
2015-01-18,Chair,15.0,1,2015
2015-01-18,Sofa,15.9,1,2015
2015-01-18,Cabinet,15.3,1,2015
2015-01-18,Bed,15.12,1,2015
2015-01-18,Desk,16.5,1,2015
2015-01-19,Table,16.89,0,2015
2015-01-19,Chair,15.5,0,2015
2015-01-19,Sofa,16.2,0,2015
2015-01-19,Cabinet,15.08,0,2015
2015-01-19,Bed,15.16,0,2015
2015-01-19,Desk,16.0,0,2015
2015-01-20,Table,16.68,0,2015
2015-01-20,Chair,16.5,0,2015
2015-01-20,Sofa,17.7,0,2015
2015-01-20,Cabinet,15.02,0,2015
2015-01-20,Bed,15.12,0,2015
2015-01-20,Desk,15.375,0,2015
2015-01-21,Table,15.84,0,2015
2015-01-21,Chair,15.0,0,2015
2015-01-21,Sofa,15.0,0,2015
2015-01-21,Cabinet,15.12,0,2015
2015-01-21,Bed,15.16,0,2015
2015-01-21,Desk,15.875,0,2015
2015-01-22,Table,16.26,0,2015
2015-01-22,Chair,18.0,0,2015
2015-01-22,Sofa,15.0,0,2015
2015-01-22,Cabinet,15.14,0,2015
2015-01-22,Bed,15.12,0,2015
2015-01-22,Desk,16.25,0,2015
2015-01-23,Table,15.63,0,2015
2015-01-23,Chair,17.5,0,2015
2015-01-23,Sofa,15.3,0,2015
2015-01-23,Cabinet,15.1,0,2015
2015-01-23,Bed,15.1,0,2015
2015-01-23,Desk,15.25,0,2015
2015-01-24,Table,15.315,1,2015
2015-01-24,Chair,22.5,1,2015
2015-01-24,Sofa,18.15,1,2015
2015-01-24,Cabinet,15.0,1,2015
2015-01-24,Bed,15.27,1,2015
2015-01-24,Desk,15.9375,1,2015
2015-01-25,Table,15.0,1,2015
2015-01-25,Chair,18.75,1,2015
2015-01-25,Sofa,16.35,1,2015
2015-01-25,Cabinet,15.27,1,2015
2015-01-25,Bed,15.3,1,2015
2015-01-25,Desk,15.75,1,2015
2015-01-26,Table,17.1,0,2015
2015-01-26,Chair,16.0,0,2015
2015-01-26,Sofa,18.0,0,2015
2015-01-26,Cabinet,15.18,0,2015
2015-01-26,Bed,15.12,0,2015
2015-01-26,Desk,15.875,0,2015
2015-01-27,Table,15.84,0,2015
2015-01-27,Chair,18.5,0,2015
2015-01-27,Sofa,16.2,0,2015
2015-01-27,Cabinet,15.0,0,2015
2015-01-27,Bed,15.2,0,2015
2015-01-27,Desk,16.125,0,2015
2015-01-28,Table,16.89,0,2015
2015-01-28,Chair,19.5,0,2015
2015-01-28,Sofa,18.0,0,2015
2015-01-28,Cabinet,15.06,0,2015
2015-01-28,Bed,15.12,0,2015
2015-01-28,Desk,15.375,0,2015
2015-01-29,Table,15.21,0,2015
2015-01-29,Chair,15.5,0,2015
2015-01-29,Sofa,17.4,0,2015
2015-01-29,Cabinet,15.2,0,2015
2015-01-29,Bed,15.08,0,2015
2015-01-29,Desk,15.5,0,2015
2015-01-30,Table,15.42,0,2015
2015-01-30,Chair,18.5,0,2015
2015-01-30,Sofa,15.3,0,2015
2015-01-30,Cabinet,15.12,0,2015
2015-01-30,Bed,15.0,0,2015
2015-01-30,Desk,15.625,0,2015
2015-01-31,Table,17.835,1,2015
2015-01-31,Chair,17.25,1,2015
2015-01-31,Sofa,16.35,1,2015
2015-01-31,Cabinet,15.3,1,2015
2015-01-31,Bed,15.27,1,2015
2015-01-31,Desk,15.0,1,2015
2015-02-01,Table,15.315,1,2015
2015-02-01,Chair,22.5,1,2015
2015-02-01,Sofa,16.35,1,2015
2015-02-01,Cabinet,15.27,1,2015
2015-02-01,Bed,15.06,1,2015
2015-02-01,Desk,16.6875,1,2015
2015-02-02,Table,16.47,0,2015
2015-02-02,Chair,16.5,0,2015
2015-02-02,Sofa,15.0,0,2015
2015-02-02,Cabinet,15.04,0,2015
2015-02-02,Bed,15.16,0,2015
2015-02-02,Desk,15.375,0,2015
2015-02-03,Table,15.21,0,2015
2015-02-03,Chair,17.0,0,2015
2015-02-03,Sofa,16.8,0,2015
2015-02-03,Cabinet,15.0,0,2015
